scenario,profit
s0712,175941.78607614522
s0713,175589.0754640003
s0714,169857.70967013613
s0715,157533.0437911076
s0716,169251.74906289196
s0717,179080.55553585733
s0718,132185.88388091326
s0719,143653.5619167284
s0720,173334.83417918862
s0721,162992.57124355595
s0722,160230.60417291446
s0723,159449.44985649062
s0724,176541.21844016673
s0725,168705.79681679403
s0726,173531.11608349948
s0727,180381.96765219336
s0728,163681.32105322302
s0729,179565.37350588193
s0730,180223.84813919463
s0731,149468.9762711382
s0732,176325.85574663075
s0733,153528.67791719403
s0734,167114.00056971595
s0735,173436.01905129614
s0736,157632.8461723592
s0737,178212.1291546193
s0738,187158.40620382605
s0739,167552.61661506983
s0740,171618.89639975253
s0741,161029.85123256713
s0742,201300.92881411407
s0743,176516.89669287507
s0744,143520.94428623607
s0745,179662.16998375324
s0746,190573.65336276434
s0747,218412.4231073298
s0748,175809.71866837444
s0749,173434.82177043904
s0750,165034.58227827112
s0751,166600.2716808818
s0752,160780.82302391823
s0753,166632.90555273605
s0754,179342.9383918105
s0755,168522.374979271
s0756,190690.37001512674
s0757,209068.29026690588
s0758,165812.92799496674
s0759,166345.67105910787
s0760,150721.12289732177
s0761,170646.89973540138
s0762,161634.43596565252
s0763,171397.25176525838
s0764,159965.68773009587
s0765,176517.88192726052
s0766,170923.22424077604
s0767,174008.41902144928
s0768,211111.03624899604
s0769,151924.65954743812
s0770,177699.7058779378
s0771,178192.46912341708
s0772,191427.99639469065
s0773,189438.12868053073
s0774,185391.287538377
s0775,159315.83084491635
s0776,179665.88524537112
s0777,179380.03102378096
s0778,173338.13825087989
s0779,170106.89712611164
s0780,161700.25920818668
s0781,170553.5003119739
s0782,165066.54465263197
s0783,182969.2819435159
s0784,200993.37092831975
s0785,173598.1469227887
s0786,173841.11282880633
s0787,161810.0782133554
s0788,133843.28856457118
s0789,190490.38242066637
s0790,149535.11190593825
s0791,172570.64927502684
s0792,162017.1382327275
s0793,164095.21872586972
s0794,163933.37203875335
s0795,198585.64752603677
s0796,175771.5175298163
s0797,189552.39575833402
s0798,156851.69865473965
s0799,169822.46248065008
s0800,165950.5081855584
s0801,193795.12572377088
s0802,177128.5413566064
s0803,178401.59028073947
s0804,203539.47170384787
s0805,178368.89587460822
s0806,116002.73176003793
s0807,181103.9613125365
s0808,161525.3165891409
s0809,167998.3141029715
s0810,166933.78824988837
s0811,169596.55383784292
s0812,178513.28234285742
s0813,150975.6745879015
s0814,164979.24946436452
s0815,174088.4528973284
s0816,198574.44538730034
s0817,130713.00958221566
s0818,163936.51730714753
s0819,167983.936169763
s0820,173746.54679549832
s0821,173328.927223478
s0822,160792.76059188778
s0823,186350.807774255
s0824,183055.95564828938
