Qsell,E,CVaR,rho
5.99,1.4995135476089783e6,-2.2760799649014743e6,-2.2383240297763697e6
6.0,1.504181136818738e6,-2.2654505222622748e6,-2.2277542056714646e6
6.01,1.5088487260284983e6,-2.254821079623075e6,-2.2171843815665594e6
6.02,1.5135163152382579e6,-2.244191636983875e6,-2.206614557461654e6
6.03,1.5181839044480182e6,-2.233771657625142e6,-2.1962521020044102e6
6.04,1.5228514936577783e6,-2.223369714660158e6,-2.1859075025769784e6
6.05,1.5275190828675383e6,-2.2129867540169344e6,-2.1755816956480895e6
6.06,1.5321866720772982e6,-2.202603950840934e6,-2.165256044611752e6
6.07,1.5368542612870582e6,-2.1922211476649344e6,-2.1549303935754145e6
6.08,1.5415218504968185e6,-2.1818383444889328e6,-2.144604742539075e6
6.09,1.5461894397065786e6,-2.171455541312935e6,-2.1342790915027396e6
6.1,1.5508570289163385e6,-2.161072738136935e6,-2.123953440466402e6
6.11,1.5555246181260985e6,-2.1506987922922163e6,-2.1136365581880333e6
6.12,1.5601922073358584e6,-2.140339908884216e6,-2.103334587722015e6
6.13,1.5648597965456175e6,-2.129981025476217e6,-2.0930326172559983e6
6.14,1.5695273857553776e6,-2.119642465300508e6,-2.0827507667899488e6
6.15,1.574194974965138e6,-2.109343842381308e6,-2.0725084542078434e6
6.16,1.5788625641748982e6,-2.0990652332719183e6,-2.06228595529745e6
6.17,1.583530153384658e6,-2.088840993562319e6,-2.0521172820928493e6
6.18,1.5881977425944177e6,-2.0786167538527192e6,-2.0419486088882477e6
6.19,1.5928653318041777e6,-2.0684155097969188e6,-2.031802701380908e6
6.2,1.597532921013938e6,-2.0582310504209197e6,-2.021673410706571e6
6.21,1.6022005102236974e6,-2.0480626615615343e6,-2.011560029843682e6
6.22,1.6068680994334582e6,-2.0378973052975344e6,-2.0014496512502246e6
6.23,1.6115356886432183e6,-2.0277319490335325e6,-1.9913392726567648e6
6.24,1.616203277852978e6,-2.0175665927695343e6,-1.9812288940633093e6
6.25,1.6208708670627377e6,-2.0074012365055336e6,-1.971118515469851e6
6.26,1.6255384562724975e6,-1.997235880241533e6,-1.9610081368763926e6
6.27,1.6302060454822578e6,-1.987070523977534e6,-1.950897758282936e6
6.28,1.634873634692018e6,-1.9769051677135336e6,-1.940787379689478e6
6.29,1.6395412239017787e6,-1.9667398114495333e6,-1.93067700109602e6
6.3,1.6442088131115378e6,-1.9565744551855328e6,-1.9205666225025621e6
6.31,1.6488764023212984e6,-1.9464679617674665e6,-1.9105145181265788e6
6.32,1.6535439915310582e6,-1.9363857025610667e6,-1.9004864056201454e6
6.33,1.6582115807408185e6,-1.9263034433546655e6,-1.8904582931137106e6
6.34,1.6628791699505781e6,-1.9162211841482653e6,-1.8804301806072767e6
6.35,1.6675467591603384e6,-1.9061389249418662e6,-1.8704020681008443e6
6.36,1.6722143483700985e6,-1.8960723953950976e6,-1.8603895279574457e6
6.37,1.6768819375798583e6,-1.8860118918502973e6,-1.8503829535559958e6
6.38,1.6815495267896175e6,-1.8759513883054976e6,-1.8403763791545464e6
6.39,1.6862171159993778e6,-1.8658962878168963e6,-1.8303751537787335e6
6.4,1.6908847052091383e6,-1.8558412015280966e6,-1.8203739424607242e6
6.41,1.6955522944188977e6,-1.8457861152392956e6,-1.8103727311427137e6
